Date,Open,High,Low,Close,Adj Close,Volume
2022-05-16,74.940002,75.440002,72.309998,72.419998,70.888275,11435300
2022-05-17,74.010002,74.349998,72.839996,73.720001,72.160774,12454500
2022-05-18,73.150002,73.540001,70.779999,71.279999,69.772377,10576500
2022-05-19,71.099998,72.419998,70.330002,71.930000,70.408646,11193700
2022-05-20,72.879997,73.430000,71.459999,73.389999,71.837753,15941800
2022-05-23,73.730003,74.269997,72.570000,73.419998,71.867119,10741900
2022-05-24,72.970001,73.330002,71.269997,72.720001,71.181923,9227700
2022-05-25,72.720001,73.500000,71.930000,72.480003,70.947006,8344400
2022-05-26,72.949997,74.769997,72.870003,74.489998,72.914482,8940900
2022-05-27,75.230003,76.720001,75.150002,76.709999,75.087532,8498400
2022-05-31,76.970001,79.660004,76.550003,78.500000,76.839676,23361800
2022-06-01,78.750000,78.879997,76.050003,76.279999,74.666626,7579000
2022-06-02,76.540001,79.500000,75.849998,79.419998,77.740219,10241500
2022-06-03,79.000000,79.900002,78.320000,79.050003,77.378044,10415700
2022-06-06,79.699997,81.300003,78.529999,78.980003,77.309517,7239400
2022-06-07,78.570000,79.750000,78.260002,79.470001,77.789162,5517100
2022-06-08,78.900002,79.769997,78.260002,78.470001,76.810310,5178300
2022-06-09,77.970001,80.269997,77.730003,78.910004,77.241005,13248100
2022-06-10,77.019997,77.790001,75.660004,75.669998,74.069519,8694300
2022-06-13,73.089996,74.010002,71.910004,72.360001,70.829536,9282800
2022-06-14,72.849998,73.839996,71.529999,72.309998,70.780602,7635600
2022-06-15,73.250000,75.269997,73.110001,74.190002,72.620842,7682300
2022-06-16,72.430000,72.610001,70.349998,70.949997,69.449364,10147000
2022-06-17,71.080002,72.440002,70.769997,71.870003,70.349899,9824300
2022-06-21,73.059998,73.169998,72.029999,72.959999,71.416847,7872500
2022-06-22,72.370003,73.820000,72.220001,73.300003,71.749657,6702200
2022-06-23,73.860001,75.360001,73.510002,75.199997,73.609467,6586400
2022-06-24,75.660004,78.150002,75.550003,78.110001,76.457932,18012000
2022-06-27,78.000000,78.440002,77.269997,77.680000,76.037018,6672200
2022-06-28,78.389999,79.889999,76.190002,76.339996,74.725365,7206400
2022-06-29,76.209999,77.150002,75.639999,76.430000,74.813461,8983900
2022-06-30,76.010002,76.879997,74.870003,76.389999,74.774307,6781100
2022-07-01,76.730003,79.470001,76.540001,79.260002,77.583603,7539200
2022-07-05,78.019997,79.550003,77.360001,79.519997,77.838104,8087800
2022-07-06,79.830002,80.470001,78.180000,78.860001,77.192062,4652800
2022-07-07,78.809998,79.650002,78.370003,79.239998,77.564011,5395600
2022-07-08,78.690002,79.629997,78.269997,79.279999,77.603188,3927100
2022-07-11,78.849998,79.050003,77.430000,77.900002,76.252373,5351500
2022-07-12,78.360001,79.440002,77.379997,77.760002,76.115334,5393400
2022-07-13,75.989998,78.540001,75.730003,77.919998,76.271942,3897500
2022-07-14,77.089996,78.370003,76.809998,78.199997,76.546013,4504500
2022-07-15,78.610001,80.209999,78.610001,79.620003,77.935989,5584100
2022-07-18,80.029999,81.669998,80.000000,80.230003,78.533089,6768800
2022-07-19,81.110001,82.669998,80.910004,82.550003,80.804008,5949200
2022-07-20,82.480003,83.470001,81.889999,83.269997,81.508781,6850600
2022-07-21,82.949997,83.610001,82.650002,83.540001,81.773087,7695300
2022-07-22,84.160004,84.430000,82.839996,83.589996,81.822014,6283600
2022-07-25,83.589996,83.699997,81.040001,81.500000,79.776222,5861100
2022-07-26,81.220001,81.419998,80.000000,80.309998,78.611382,6587000
2022-07-27,81.230003,83.410004,81.120003,82.959999,81.205345,6372600
2022-07-28,83.190002,84.889999,82.820000,84.669998,82.879166,5594600
2022-07-29,84.599998,84.980003,83.930000,84.779999,82.986847,5802700
2022-08-01,84.190002,85.589996,84.029999,84.910004,83.114105,7313700
2022-08-02,84.699997,85.139999,83.620003,83.709999,81.939484,7254700
2022-08-03,86.010002,87.970001,83.910004,87.269997,85.424187,12915700
2022-08-04,87.209999,88.279999,86.570000,86.879997,85.042427,7086700
2022-08-05,85.760002,86.150002,84.919998,85.730003,83.916763,4835100
2022-08-08,86.150002,86.860001,85.419998,85.720001,83.906967,4878400
2022-08-09,85.739998,85.830002,84.459999,84.839996,83.045578,3498400
2022-08-10,86.500000,86.900002,86.089996,86.489998,84.660675,5072300
2022-08-11,86.940002,87.550003,86.500000,87.269997,85.910896,5595700
2022-08-12,87.309998,88.400002,87.190002,88.309998,86.934708,5154000
2022-08-15,88.110001,89.250000,88.010002,89.160004,87.771477,5601000
2022-08-16,88.779999,89.930000,88.540001,89.400002,88.007736,4580800
2022-08-17,88.400002,89.000000,87.860001,88.349998,86.974083,3831300
